,10,,C-28-208-1185-79,"Viasat HD",DCT0,
,11,,C-28-208-1182-79,"Viasat History",DCT0,
,12,,C-28-209-1200-80,"Viasat Nature",DCT0,
,57,,C-28-208-1177-79,"Discovery",DCT0,
,59,,C-28-208-1181-79,"Discovery Science",DCT0,
,60,,C-28-213-1301-84,"Discovery Science HD",DCT0,
,61,,C-28-209-1208-80,"Discovery Showcase HD",DCT0,
,65,,C-28-213-1300-84,"DTX HD",DCT0,
,124,,C-28-214-1310-85,"Nat Geo HD",DCT0,
,125,,C-28-206-1128-77,"Nat Geo People HD",DCT0,

# doc - animals
,20,,C-28-208-1178-79,"Animal Planet",DCT0,
,21,,C-28-209-1209-80,"Animal Planet HD",DCT0,
,32,,C-28-215-1324-86,"BBC Earth HD",DCT0,
,126,,C-28-209-1203-80,"Nat Geo Wild",DCT0,
,127,,C-28-214-1311-85,"Nat Geo Wild HD",DCT0,
,129,,C-28-209-1202-80,"National Geographic",DCT0,

# doc - politie
,53,,C-28-209-1201-80,"Crime & Investigations",DCT0,
,58,,C-28-208-1186-79,"Discovery ID Xtra",DCT0,
,102,,C-28-210-1234-81,"ID Xtra HD",DCT0,

# docs - travel
,84,,C-28-205-1112-76,"Fine Living",DCT0,
,171,,C-28-209-1207-80,"Travel Channel",DCT0,
,172,,C-28-213-1302-84,"Travel Channel HD",DCT0,
,173,,C-28-210-1225-81,"Travel Mix",DCT0,

# docs - food
,86,,C-28-215-1326-86,"Food Network",DCT0,
,87,,C-28-215-1321-86,"Food Network HD",DCT0,

# docs - history
,98,,C-28-209-1204-80,"History",DCT0,
,99,,C-28-209-1210-80,"History HD",DCT0,

# entertain
,24,,C-28-217-1341-89,"Antena Stars HD",DCT0,
,68,,C-28-210-1227-81,"E! Entertainment",DCT0,
,69,,C-28-214-1314-85,"E! Entertainment HD",DCT0,

# copii
,54,,C-28-209-1205-80,"Da Vinci Learning",DCT0,
,50,,C-28-204-1080-75,"Comedy Central",DCT0,
,38,,C-28-203-1062-74,"Boomerang",DCT0,
,40,,C-28-203-1061-74,"Cartoon Network",DCT0,
,62,,C-28-204-1078-75,"Disney Channel",DCT0,
,132,,C-28-215-1322-86,"Nick HD",DCT0,
,134,,C-28-204-1079-75,"Nickelodeon",DCT0,
# copii bebe
,63,,C-28-204-1075-75,"Disney Junior",DCT0,
,133,,C-28-203-1064-74,"Nick Jr.",DCT0,
,31,,C-28-204-1076-75,"Baby TV",DCT0,


# economy?
,34,,C-28-207-1152-78,"Bloomberg",DCT0,

# xxx
,77,,C-28-210-1229-81,"Fashion TV",DCT0,
,78,,C-28-210-1232-81,"Fashion TV HD",DCT0,
,39,,C-28-212-1279-83,"Brazzers TV",DCT0,
,100,,C-28-212-1281-83,"Hustler TV",DCT0,
,139,,C-28-212-1285-83,"Playboy TV",DCT0,
,141,,C-28-212-1283-83,"Private TV",DCT0,


# invalide & neplatite
,41,,C-28-212-1282-83,"CentoXCento",DCT0,
,49,,C-28-216-1335-88,"CNN HD",DCT0,
,51,,C-28-214-1316-85,"Cool TV",DCT0,
,66,,C-28-203-1065-74,"Duck TV",DCT0,
,70,,C-28-212-1290-83,"ERDELY TV",DCT0,
,80,,C-28-212-1289-83,"Film+",DCT0,
,81,,C-28-205-1109-76,"FilmBox",DCT0,
,82,,C-28-206-1137-77,"FilmBox Extra HD",DCT0,
,83,,C-28-206-1125-77,"FilmBox Plus",DCT0,
,85,,C-28-216-1337-88,"Fine Living HD",DCT0,
,109,,C-28-203-1058-74,"Look TV",DCT0,
,111,,C-28-212-1278-83,"M1",DCT0,
,112,,C-28-212-1284-83,"M2",DCT0,
,114,,C-28-215-1323-86,"Mezzo Live HD",DCT0,
,138,,C-28-212-1286-83,"Pink'O",DCT0,
,152,,C-28-204-1083-75,"RTL 2",DCT0,
,153,,C-28-212-1288-83,"RTL Klub",DCT0,
,155,,C-28-206-1139-77,"Story 4",DCT0,
,156,,C-28-205-1110-76,"Sundance HD",DCT0,

# invalid - Te rugam sa apelezi Serviciul Clienti pentru a te abona la acest canal. (4)
,158,,C-28-201-1001-72,"Telekom Info",DCT0,
,159,,C-28-201-1003-72,"Telekom Sport 1",DCT0,
,160,,C-28-201-1015-72,"Telekom Sport 1 HD",DCT0,
,161,,C-28-201-1005-72,"Telekom Sport 2",DCT0,
,162,,C-28-208-1187-79,"Telekom Sport 2 HD",DCT0,
,163,,C-28-201-1007-72,"Telekom Sport 3 HD",DCT0,
,164,,C-28-201-1009-72,"Telekom Sport 4 HD",DCT0,
,170,,C-28-216-1336-88,"TNT HD",DCT0,
,177,,C-28-210-1228-81,"TV Paprika",DCT0,

# invalid - negru
,181,,C-28-204-1086-75,"",DCT0,

# service not available
,107,,C-65535-220-1503-87,"Local 2",DCT0,

# neplatite
,44,,C-28-205-1107-76,"Cinemax",DCT0,
,45,,C-28-205-1108-76,"Cinemax 2",DCT0,
,46,,C-28-213-1305-84,"Cinemax 2 HD",DCT0,
,47,,C-28-213-1304-84,"Cinemax HD",DCT0,
,137,,C-28-213-1306-84,"Penthouse HD",DCT0,

# neplatite - unguresc
,67,,C-28-212-1287-83,"Duna TV",DCT0,


# religie
,52,,C-28-203-1060-74,"Credo TV",DCT0,
,154,,C-28-203-1051-74,"Speranta TV",DCT0,
,174,,C-28-202-1038-73,"Trinitas TV",DCT0,
,17,,C-28-203-1050-74,"Alfa Omega TV",DCT0,

# music folclor
,71,,C-28-212-1291-83,"eSTRADA TV",DCT0,
,72,,C-28-211-1259-82,"Etno",DCT0,
,79,,C-28-211-1258-82,"Favorit TV",DCT0,
,103,,C-28-212-1275-83,"Inedit TV",DCT0,
,157,,C-28-211-1260-82,"Taraf",DCT0,

# sport
,73,,C-28-207-1157-78,"Eurosport 1",DCT0,
,74,,C-28-207-1158-78,"Eurosport 2",DCT0,
,75,,C-28-207-1160-78,"Eurosport 2 HD ",DCT0,
